Company,Headline,Link
Wipro,"Wipro shares rise for 9th straight session, buyback record date at June 5",https://www.moneycontrol.com/news/business/markets/wipro-shares-rise-for-9th-straight-session-buyback-record-date-at-june-5-13930924.html
Wipro,"Wipro announces June 5 as record date for Rs 15,000 crore share buyback",https://www.moneycontrol.com/news/business/markets/wipro-announces-june-5-as-record-date-for-rs-15-000-crore-share-buyback-13928115.html
Wipro,Wipro founder Azim Premji’s son Tariq buys Rs 45.71-crore penthouse in Bengaluru,https://www.moneycontrol.com/news/business/real-estate/wipro-founder-azim-premji-s-son-tariq-buys-rs-45-71-crore-penthouse-in-bengaluru-13925386.html
Wipro,"Wipro Consolidated March 2026 Net Sales at Rs 24,236.30 crore, up 7.7% Y-o-Y",https://www.moneycontrol.com/news/business/earnings/wipro-consolidated-march-2026-net-sales-at-rs-24236-30-crore-up-7-7-y-o-y-13925274.html
Wipro,"OpenAI’s $4 billion AI bet could challenge TCS, Infosys and Wipro",https://www.moneycontrol.com/news/trends/openai-s-4-billion-ai-bet-could-challenge-tcs-infosys-and-wipro-13916359.html
Wipro,"HCLTech, Wipro, Tech Mahindra, Persistent recheck harassment safeguards after TCS Nashik case",https://www.moneycontrol.com/news/business/information-technology/hcltech-wipro-tech-mahindra-persistent-recheck-harassment-safeguards-after-tcs-nashik-case-13903119.html
Wipro,"AI cuts deal values, compresses IT revenue growth in FY26",https://www.moneycontrol.com/news/business/information-technology/ai-cuts-deal-values-compresses-it-revenue-growth-in-fy26-13900360.html
Wipro,Wipro's buyback could give up to 14% returns to investors in the short-term,https://www.moneycontrol.com/news/business/markets/wipro-s-buyback-could-give-up-to-14-returns-to-investors-in-the-short-term-13900004.html
Wipro,"Stocks to Watch Today: Reliance Ind, Paytm, Wipro, Indian Hume Pipe, JK Cement, Alembic Pharma, Axis Bank, IndusInd, Can Fin, Tanla Platforms in focus on 27 April",https://www.moneycontrol.com/news/business/markets/stocks-to-watch-today-reliance-ind-paytm-wipro-indian-hume-pipe-jk-cement-alembic-pharma-axis-bank-indusind-can-fin-tanla-platforms-in-focus-on-27-april-13899988.html
Wipro,"AI rewrites playbook for TCS, Infosys, Wipro as growth outlook splits: Report",https://www.moneycontrol.com/news/business/companies/ai-rewrites-playbook-for-tcs-infosys-wipro-as-growth-outlook-splits-report-13899864.html
Wipro,"TCS, Infosys, HCLTech, Wipro, Tech M report muted FY26 hiring; workforce shrinks by 7,389",https://www.moneycontrol.com/news/business/information-technology/tcs-infosys-hcltech-wipro-tech-m-report-muted-fy26-hiring-workforce-shrinks-by-7-389-13899069.html
Wipro,Watch,
Wipro,Advisory Alert:,
Wipro,Trending Topics,
Wipro,News,
Wipro,Markets,
Wipro,Personal Finance,
Wipro,Mutual Funds,
Wipro,Tools,
Wipro,Community,
Wipro,Network 18 Sites,
Wipro,Quick Links,
Wipro,You got30 Day’s Trialof,
HCL Technologies,"Stocks to Watch Today: NLC India, IRB Infrastructure, Rail Vikas Nigam, JNK India, Bharti Airtel, Vodafone Idea, NRB Bearings in focus on 09 June",https://www.moneycontrol.com/news/business/markets/stocks-to-watch-today-nlc-india-irb-infrastructure-rail-vikas-nigam-jnk-india-bharti-airtel-vodafone-idea-nrb-bearings-in-focus-on-09-june-13944185.html
HCL Technologies,"Stocks to Watch Today: JSW Steel, Tata Motors PV, Adani Enterprises, SEPC, Muthoot Finance, GE Shipping, Welspun Enterprises, Sheela Foam, Voltas in focus on 15 May",https://www.moneycontrol.com/news/business/markets/stocks-to-watch-today-jsw-steel-tata-motors-pv-adani-enterprises-sepc-muthoot-finance-ge-shipping-welspun-enterprises-sheela-foam-voltas-in-focus-on-15-may-13919803.html
HCL Technologies,"Stocks to Watch Today: Maruti Suzuki, Aster DM Health, IndiaMART, RailTel Corporation, ACC, Eveready Industries, Avenue Supermarts in focus on 4 May",https://www.moneycontrol.com/news/business/markets/stocks-to-watch-today-maruti-suzuki-aster-dm-health-indiamart-railtel-corporation-acc-eveready-industries-avenue-supermarts-in-focus-on-4-may-13906713.html
HCL Technologies,Buy HCL Technologies; target of Rs 1560: LKP Research,https://www.moneycontrol.com/news/business/stocks/buy-hcl-technologies-target-of-rs-1560-lkp-research-13897174.html
HCL Technologies,"HCL Tech stock crashes over 10% after Q4 miss, weak FY27 guidance; brokerages cut target prices",https://www.moneycontrol.com/news/videos/business/hcl-tech-stock-crashes-over-10-after-q4-miss-weak-fy27-guidance-brokerages-cut-target-prices-13896951.html
HCL Technologies,Buy HCL Technologies; target of Rs 1650: Motilal Oswal,https://www.moneycontrol.com/news/business/buy-hcl-technologies-target-of-rs-1650-motilal-oswal-13896686.html
HCL Technologies,Reduce HCL Technologies; target of Rs 1300: Prabhudas Lilladher,https://www.moneycontrol.com/news/business/stocks/reduce-hcl-technologies-target-of-rs-1300-prabhudas-lilladher-13896112.html
HCL Technologies,Hold HCL Technologies; target of Rs 1370: ICICI Securities,https://www.moneycontrol.com/news/business/stocks/hold-hcl-technologies-target-of-rs-1370-icici-securities-13896048.html
HCL Technologies,"Buzzing stocks: HCL Tech slips 8% post earnings; PNC Infra, BEML jump on order win",https://www.moneycontrol.com/news/business/stocks/buzzing-stocks-hcl-tech-slips-8-post-earnings-pnc-infra-beml-jump-on-order-win-13895911.html
HCL Technologies,"HCL Tech Consolidated March 2026 Net Sales at Rs 33,981.00 crore, up 12.35% Y-o-Y",https://www.moneycontrol.com/news/business/earnings/hcl-tech-consolidated-march-2026-net-sales-at-rs-33981-00-crore-up-12-35-y-o-y-13896003.html
HCL Technologies,"HCL Tech Standalone March 2026 Net Sales at Rs 12,890.00 crore, down 4.04% Y-o-Y",https://www.moneycontrol.com/news/business/earnings/hcl-tech-standalone-march-2026-net-sales-at-rs-12890-00-crore-down-4-04-y-o-y-13895986.html
HCL Technologies,"HCL Tech stock crashes over 10% after Q4 miss, weak FY27 guidance; brokerages cut target prices",https://www.moneycontrol.com/news/business/stocks/hcl-tech-stock-crashes-over-8-after-q4-miss-weak-fy27-guidance-brokerages-cut-target-prices-13895947.html
HCL Technologies,"Stocks to Watch Today: HCL Tech, Tata Elxsi, 360 ONE WAM, PNC Infratech, Aurobindo Pharma, BEML, Pine Labs, Sunteck Realty in focus on 22 April",https://www.moneycontrol.com/news/business/markets/stocks-to-watch-today-hcl-tech-tata-elxsi-360-one-wam-pnc-infratech-aurobindo-pharma-beml-pine-labs-sunteck-realty-in-focus-on-22-april-13895699.html
HCL Technologies,"Trade Spotlight: How should you trade City Union Bank, Godawari Power, Glenmark Pharma, HCL Tech, Lloyds Metals, KSB, and others on March 27?",https://www.moneycontrol.com/news/business/markets/trade-spotlight-how-should-you-trade-city-union-bank-godawari-power-glenmark-pharma-hcl-tech-lloyds-metals-ksb-and-others-on-march-27-13871970.html
HCL Technologies,"FIIs dump Rs 10,956 cr in IT stocks in early February; holdings at 4-year low",https://www.moneycontrol.com/news/business/markets/fiis-sell-rs-10-956-crore-in-it-stocks-in-first-half-of-february-notional-loss-tops-rs-85-000-crore-13834756.html
HCL Technologies,"Chartist Talk: Nifty to open directly in 25,600–25,700 resistance zone today; Milan Vaishnav bets on 3 India–US deal-linked stocks",https://www.moneycontrol.com/news/business/markets/chartist-talk-nifty-to-open-directly-in-25-600-25-700-resistance-zone-today-milan-vaishnav-bets-on-3-india-us-deal-linked-stocks-13806823.html
HCL Technologies,"Stocks to Watch Today: Axis Bank, Waaree Renewable, PVR Inox, Hindustan Copper, Torrent Pharma, Zydus Life, UltraTech, Urban Company in focus on 27 January",https://www.moneycontrol.com/news/business/markets/stocks-to-watch-today-axis-bank-waaree-renewable-pvr-inox-hindustan-copper-torrent-pharma-zydus-life-ultratech-urban-company-in-focus-on-27-january-13790902.html
HCL Technologies,"Chartist Talk | Nifty may be rangebound in Budget week; Paytm rebound likely, upside in HCL Tech and TechM: Milan Vaishnav",https://www.moneycontrol.com/news/business/markets/chartist-talk-nifty-may-be-rangebound-in-budget-week-paytm-rebound-likely-upside-in-hcl-tech-and-techm-milan-vaishnav-13790285.html
HCL Technologies,"Stocks to Watch Today: JSW Energy, HCL Tech, RBL Bank, Amagi Media Labs, Vikram Solar, CreditAccess, Rallis India, Supreme Petrochem in focus on 21 January",https://www.moneycontrol.com/news/business/markets/stocks-to-watch-today-jsw-energy-hcl-tech-rbl-bank-amagi-media-labs-vikram-solar-creditaccess-rallis-india-supreme-petrochem-in-focus-on-21-january-13782309.html
HCL Technologies,"HCL Tech Consolidated December 2025 Net Sales at Rs 33,872.00 crore, up 13.32% Y-o-Y",https://www.moneycontrol.com/news/business/earnings/hcl-tech-consolidated-december-2025-net-sales-at-rs-33872-00-crore-up-13-32-y-o-y-13780924.html
HCL Technologies,"Trade Spotlight: How should you trade Tata Elxsi, Colgate Palmolive, Shriram Finance, Canara Bank, CCL Products, and others on January 20?",https://www.moneycontrol.com/news/business/markets/trade-spotlight-how-should-you-trade-tata-elxsi-colgate-palmolive-shriram-finance-canara-bank-ccl-products-and-others-on-january-20-13779904.html
HCL Technologies,"Trade Spotlight: How should you trade UPL, IDBI Bank, Mishra Dhatu Nigam, Tech Mahindra, HCL Technologies, and others on January 19?",https://www.moneycontrol.com/news/business/markets/trade-spotlight-how-should-you-trade-upl-idbi-bank-mishra-dhatu-nigam-tech-mahindra-hcl-technologies-and-others-on-january-19-13777775.html
HCL Technologies,Chartist Talk: Direction for Nifty 50 remains uncertain but Sudeep Shah bets on these top 5 stocks for next week,https://www.moneycontrol.com/news/business/markets/chartist-talk-direction-for-nifty-50-remains-uncertain-but-sudeep-shah-bets-on-these-top-5-stocks-for-next-week-13777311.html
HCL Technologies,Hold HCL Technologies; target of Rs 1682: Deven Choksey,https://www.moneycontrol.com/news/business/stocks/hold-hcl-technologies-target-of-rs-1682-deven-choksey-13772559.html
HCL Technologies,Buy HCL Technologies; target of Rs 1900: LKP Research,https://www.moneycontrol.com/news/business/stocks/buy-hcl-technologies-target-of-rs-1900-lkp-research-13772485.html
HCL Technologies,Watch,
HCL Technologies,Advisory Alert:,
HCL Technologies,Trending Topics,
HCL Technologies,News,
HCL Technologies,Markets,
HCL Technologies,Personal Finance,
